IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.76.233.67,2053,true,HKG,Asia Pacific,Hong Kong,59 ms,23367 kB/s
101.42.10.90,443,true,HKG,Asia Pacific,Hong Kong,84 ms,23296 kB/s
101.42.29.143,443,true,HKG,Asia Pacific,Hong Kong,81 ms,21657 kB/s
211.72.156.10,23555,true,KHH,Asia Pacific,Kaohsiung City,72 ms,20086 kB/s
34.81.172.46,823,true,TPE,Asia Pacific,Taipei,76 ms,19775 kB/s
47.76.192.24,8443,true,HKG,Asia Pacific,Hong Kong,67 ms,18723 kB/s
47.76.98.98,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,18356 kB/s
211.72.156.11,23555,true,KHH,Asia Pacific,Kaohsiung City,70 ms,17267 kB/s
35.229.179.98,25775,true,TPE,Asia Pacific,Taipei,75 ms,17161 kB/s
146.56.42.31,48652,true,HKG,Asia Pacific,Hong Kong,71 ms,16717 kB/s
43.129.216.150,443,true,HKG,Asia Pacific,Hong Kong,71 ms,16099 kB/s
146.56.171.182,11659,true,NRT,Asia Pacific,Tokyo,76 ms,14832 kB/s
60.249.89.74,23555,true,KHH,Asia Pacific,Kaohsiung City,88 ms,14760 kB/s
193.123.239.18,49248,true,NRT,Asia Pacific,Tokyo,71 ms,14402 kB/s
129.154.223.89,15800,true,NRT,Asia Pacific,Tokyo,79 ms,14368 kB/s
211.75.223.83,23555,true,KHH,Asia Pacific,Kaohsiung City,81 ms,14265 kB/s
140.143.217.136,443,true,HKG,Asia Pacific,Hong Kong,81 ms,13807 kB/s
202.81.235.17,443,true,HKG,Asia Pacific,Hong Kong,68 ms,13380 kB/s
47.57.14.238,4328,true,HKG,Asia Pacific,Hong Kong,64 ms,13109 kB/s
146.56.135.192,16617,true,HKG,Asia Pacific,Hong Kong,72 ms,13072 kB/s
152.70.239.134,34237,true,ICN,Asia Pacific,Seoul,72 ms,12125 kB/s
154.197.121.253,8443,true,SJC,North America,San Jose,176 ms,11889 kB/s
146.56.141.168,47590,true,HKG,Asia Pacific,Hong Kong,71 ms,11849 kB/s
162.159.142.252,2096,true,SJC,North America,San Jose,169 ms,11489 kB/s
35.221.193.169,443,true,TPE,Asia Pacific,Taipei,83 ms,11304 kB/s
38.47.126.190,40040,true,NRT,Asia Pacific,Tokyo,74 ms,10960 kB/s
103.30.78.25,33914,true,HKG,Asia Pacific,Hong Kong,73 ms,10808 kB/s
203.69.248.40,27381,true,KHH,Asia Pacific,Kaohsiung City,98 ms,10673 kB/s
211.72.156.17,23555,true,KHH,Asia Pacific,Kaohsiung City,96 ms,10568 kB/s
89.208.254.6,34237,true,LAX,North America,Los Angeles,168 ms,10189 kB/s
199.19.107.163,13042,true,LAX,North America,Los Angeles,161 ms,10165 kB/s
154.197.121.127,8443,true,SJC,North America,San Jose,180 ms,9065 kB/s
47.236.80.110,2096,true,SIN,Asia Pacific,Singapore,221 ms,9000 kB/s
47.236.10.182,2087,true,SIN,Asia Pacific,Singapore,213 ms,8438 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,174 ms,7973 kB/s
47.236.75.152,2053,true,SIN,Asia Pacific,Singapore,222 ms,7089 kB/s
146.56.37.60,20017,true,SEA,North America,Seattle,69 ms,7068 kB/s
54.194.162.247,443,true,DUB,Europe,Dublin,206 ms,6767 kB/s
31.41.249.130,477,true,AMS,Europe,Amsterdam,187 ms,6750 kB/s
104.20.27.224,2096,true,IAD,North America,Ashburn,245 ms,6693 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,175 ms,6142 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,174 ms,6055 kB/s
38.147.188.243,8001,true,TPE,Asia Pacific,Taipei,61 ms,5992 kB/s
47.236.189.92,2053,true,SIN,Asia Pacific,Singapore,219 ms,5742 kB/s
47.236.158.158,2096,true,SIN,Asia Pacific,Singapore,216 ms,5381 kB/s
172.64.154.219,8443,true,HKG,Asia Pacific,Hong Kong,206 ms,5333 kB/s
210.68.95.96,443,true,TPE,Asia Pacific,Taipei,84 ms,5255 kB/s
162.159.58.157,2053,true,SJC,North America,San Jose,194 ms,4485 kB/s
