IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
54.150.91.84,443,true,NRT,Asia Pacific,Tokyo,67 ms,21982 kB/s
13.228.50.161,443,true,SIN,Asia Pacific,Singapore,103 ms,15468 kB/s
18.216.55.100,443,true,ORD,North America,Chicago,222 ms,6939 kB/s
3.18.225.231,443,true,ORD,North America,Chicago,253 ms,5278 kB/s
3.15.147.151,2083,true,ORD,North America,Chicago,223 ms,3835 kB/s
3.144.191.4,443,true,ORD,North America,Chicago,219 ms,3443 kB/s
54.233.182.187,443,true,GIG,South America,Rio de Janeiro,347 ms,2418 kB/s
15.228.157.181,443,true,GIG,South America,Rio de Janeiro,342 ms,2268 kB/s
99.83.209.185,443,true,IAD,North America,Ashburn,195 ms,1078 kB/s
18.198.4.243,8443,true,FRA,Europe,Frankfurt,190 ms,934 kB/s
52.74.101.26,443,true,SIN,Asia Pacific,Singapore,103 ms,688 kB/s
18.130.249.35,2096,true,LHR,Europe,London,212 ms,515 kB/s
18.130.249.35,8081,true,LHR,Europe,London,212 ms,470 kB/s
15.236.136.125,2087,true,CDG,Europe,Paris,200 ms,352 kB/s
13.48.245.19,443,true,ARN,Europe,Stockholm,218 ms,326 kB/s
34.253.212.104,8081,true,DUB,Europe,Dublin,213 ms,252 kB/s
54.200.244.93,443,true,SEA,North America,Seattle,197 ms,243 kB/s
13.40.87.247,8080,true,LHR,Europe,London,209 ms,227 kB/s
13.51.48.84,2096,true,ARN,Europe,Stockholm,209 ms,217 kB/s
13.38.53.164,8443,true,CDG,Europe,Paris,200 ms,185 kB/s
13.43.173.97,8443,true,LHR,Europe,London,205 ms,153 kB/s
13.51.55.31,443,true,ARN,Europe,Stockholm,211 ms,147 kB/s
18.168.254.65,8443,true,LHR,Europe,London,208 ms,112 kB/s
16.16.64.83,8443,true,WAW,Europe,Warsaw,208 ms,57 kB/s
13.60.4.148,8443,true,ARN,Europe,Stockholm,207 ms,41 kB/s
18.194.183.74,2053,true,FRA,Europe,Frankfurt,186 ms,38 kB/s
13.38.100.139,8443,true,CDG,Europe,Paris,202 ms,29 kB/s
3.120.8.31,443,true,FRA,Europe,Frankfurt,192 ms,25 kB/s
3.70.219.196,443,true,FRA,Europe,Frankfurt,185 ms,24 kB/s
13.43.93.40,8443,true,LHR,Europe,London,208 ms,22 kB/s
13.43.93.40,2053,true,LHR,Europe,London,206 ms,19 kB/s
54.194.162.247,443,true,DUB,Europe,Dublin,211 ms,12 kB/s
52.211.193.42,443,true,CDG,Europe,Paris,210 ms,11 kB/s
13.53.206.75,443,true,CPH,Europe,Copenhagen,213 ms,0 kB/s
3.120.144.20,8080,true,FRA,Europe,Frankfurt,185 ms,0 kB/s
13.124.81.29,443,true,ICN,Asia Pacific,Seoul,99 ms,0 kB/s
