IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.146.46.164,443,true,LAX,North America,Los Angeles,257 ms,7250 kB/s
168.138.41.79,443,true,KIX,Asia Pacific,Osaka,213 ms,6622 kB/s
129.146.247.85,2053,true,LAX,North America,Los Angeles,256 ms,6119 kB/s
141.147.144.246,8080,true,KIX,Asia Pacific,Osaka,221 ms,5996 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,249 ms,5936 kB/s
204.216.105.106,8443,true,YYZ,North America,Toronto,267 ms,5820 kB/s
152.67.78.164,8443,true,MXP,Europe,Milan,267 ms,5451 kB/s
143.47.243.144,2053,true,LHR,Europe,London,263 ms,5163 kB/s
144.24.240.193,8443,true,MXP,Europe,Milan,269 ms,5112 kB/s
138.2.18.184,443,true,NRT,Asia Pacific,Tokyo,87 ms,4993 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,249 ms,4962 kB/s
152.70.235.207,443,true,NRT,Asia Pacific,Tokyo,81 ms,4658 kB/s
64.110.103.69,443,true,KIX,Asia Pacific,Osaka,216 ms,4204 kB/s
146.56.44.88,443,true,ICN,Asia Pacific,Seoul,74 ms,4194 kB/s
150.230.122.76,443,true,LHR,Europe,London,274 ms,4123 kB/s
213.35.115.68,443,true,SIN,Asia Pacific,Singapore,266 ms,4082 kB/s
129.153.119.97,443,true,LAX,North America,Los Angeles,255 ms,3820 kB/s
168.138.46.67,443,true,KIX,Asia Pacific,Osaka,225 ms,3678 kB/s
217.142.243.205,443,true,KIX,Asia Pacific,Osaka,211 ms,3494 kB/s
129.151.205.193,443,true,ARN,Europe,Stockholm,283 ms,3439 kB/s
158.101.32.53,2053,true,LAX,North America,Los Angeles,256 ms,3378 kB/s
129.146.213.36,80,true,LAX,North America,Los Angeles,268 ms,3324 kB/s
192.9.246.112,8443,true,SJC,North America,San Jose,240 ms,3270 kB/s
64.110.104.30,443,true,KIX,Asia Pacific,Osaka,240 ms,3145 kB/s
158.101.23.233,2053,true,LAX,North America,Los Angeles,265 ms,3094 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,272 ms,3001 kB/s
129.153.213.8,443,true,LAX,North America,Los Angeles,257 ms,2956 kB/s
129.146.60.210,443,true,LAX,North America,Los Angeles,287 ms,2930 kB/s
168.138.70.29,443,true,YYZ,North America,Toronto,268 ms,2649 kB/s
193.123.81.105,443,true,DXB,Middle East,Dubai,239 ms,2617 kB/s
129.146.248.140,443,true,LAX,North America,Los Angeles,260 ms,2590 kB/s
152.70.117.136,443,true,SJC,North America,San Jose,241 ms,2209 kB/s
146.56.46.84,443,true,NRT,Asia Pacific,Tokyo,73 ms,2054 kB/s
143.47.243.144,8443,true,LHR,Europe,London,266 ms,1951 kB/s
129.159.83.88,8443,true,IAD,North America,Ashburn,270 ms,1675 kB/s
152.70.48.127,443,true,FRA,Europe,Frankfurt,261 ms,1494 kB/s
140.83.86.166,443,true,KIX,Asia Pacific,Osaka,217 ms,1446 kB/s
130.61.203.115,8443,true,FRA,Europe,Frankfurt,265 ms,1188 kB/s
143.47.186.70,443,true,FRA,Europe,Frankfurt,267 ms,1164 kB/s
132.145.93.198,2083,true,NRT,Asia Pacific,Tokyo,75 ms,1104 kB/s
141.144.198.84,443,true,FRA,Europe,Frankfurt,274 ms,1075 kB/s
