IP地址	端口	TLS	数据中心	地区	城市	网络延迟	下载速度
8.218.143.10	2087	true	HKG	Asia Pacific	Hong Kong	65 ms	25670 kB/s
47.242.171.94	2053	true	HKG	Asia Pacific	Hong Kong	62 ms	21263 kB/s
47.243.86.79	2053	true	HKG	Asia Pacific	Hong Kong	60 ms	13049 kB/s
47.242.171.94	2087	true	HKG	Asia Pacific	Hong Kong	69 ms	12162 kB/s
47.242.174.27	8443	true	HKG	Asia Pacific	Hong Kong	61 ms	12135 kB/s
47.242.171.94	8443	true	HKG	Asia Pacific	Hong Kong	63 ms	11660 kB/s
47.243.203.119	8443	true	HKG	Asia Pacific	Hong Kong	56 ms	11492 kB/s
8.218.143.10	2053	true	HKG	Asia Pacific	Hong Kong	59 ms	10521 kB/s
47.243.42.219	2083	true	HKG	Asia Pacific	Hong Kong	60 ms	9508 kB/s
47.243.203.119	2053	true	HKG	Asia Pacific	Hong Kong	60 ms	9492 kB/s
47.243.42.219	2053	true	HKG	Asia Pacific	Hong Kong	56 ms	9298 kB/s
47.242.174.27	2083	true	HKG	Asia Pacific	Hong Kong	63 ms	8880 kB/s
47.245.108.213	2096	true	SIN	Asia Pacific	Singapore	254 ms	8466 kB/s
47.242.174.27	2096	true	HKG	Asia Pacific	Hong Kong	63 ms	8452 kB/s
47.243.42.219	2087	true	HKG	Asia Pacific	Hong Kong	59 ms	8422 kB/s
8.222.237.131	2096	true	SIN	Asia Pacific	Singapore	233 ms	8402 kB/s
47.236.104.98	2053	true	SIN	Asia Pacific	Singapore	233 ms	8349 kB/s
8.218.143.10	2083	true	HKG	Asia Pacific	Hong Kong	58 ms	7590 kB/s
47.242.174.27	2087	true	HKG	Asia Pacific	Hong Kong	66 ms	7282 kB/s
47.242.171.94	2083	true	HKG	Asia Pacific	Hong Kong	67 ms	7202 kB/s
8.217.167.88	2083	true	HKG	Asia Pacific	Hong Kong	56 ms	7182 kB/s
47.243.86.79	2087	true	HKG	Asia Pacific	Hong Kong	65 ms	7086 kB/s
8.219.86.200	2096	true	SIN	Asia Pacific	Singapore	226 ms	6951 kB/s
8.219.0.162	2096	true	SIN	Asia Pacific	Singapore	225 ms	6783 kB/s
8.219.101.72	2083	true	SIN	Asia Pacific	Singapore	239 ms	6646 kB/s
47.243.86.79	2096	true	HKG	Asia Pacific	Hong Kong	56 ms	6596 kB/s
47.236.166.131	2087	true	SIN	Asia Pacific	Singapore	223 ms	6556 kB/s
47.236.254.120	2053	true	SIN	Asia Pacific	Singapore	234 ms	6522 kB/s
8.219.142.229	2096	true	SIN	Asia Pacific	Singapore	242 ms	6098 kB/s
8.219.103.65	2087	true	SIN	Asia Pacific	Singapore	234 ms	6092 kB/s
8.219.147.58	2053	true	SIN	Asia Pacific	Singapore	252 ms	6082 kB/s
8.219.101.72	2096	true	SIN	Asia Pacific	Singapore	219 ms	6074 kB/s
8.219.50.180	2083	true	SIN	Asia Pacific	Singapore	252 ms	6002 kB/s
8.219.0.162	8443	true	SIN	Asia Pacific	Singapore	219 ms	5999 kB/s
47.236.172.71	2087	true	SIN	Asia Pacific	Singapore	229 ms	5988 kB/s
47.236.254.120	2087	true	SIN	Asia Pacific	Singapore	235 ms	5987 kB/s
47.236.158.158	2087	true	SIN	Asia Pacific	Singapore	238 ms	5959 kB/s
8.222.237.131	2083	true	SIN	Asia Pacific	Singapore	245 ms	5924 kB/s
